group_id,mouse,line,depth_class,cohort,state,odor_id,unit_id,positive_auc_z_s_soma,negative_auc_z_s_soma,positive_auc_z_s_process,negative_auc_z_s_process
177,m442,DAT,superficial,DAT superficial,pre,18,g154,2.5779825170916646,0.2957030580815504,0.5068746397316266,1.2524385709729664
177,m442,DAT,superficial,DAT superficial,pre,18,g158,1.7979096227291962,0.4447952775549243,4.96793394876686,0.056262600469322216
177,m442,DAT,superficial,DAT superficial,pre,18,g159,0.6000819161327935,1.0110343153190868,0.6209186674084283,0.7418640404236504
177,m442,DAT,superficial,DAT superficial,pre,18,g161,5.297566145037688,0.04477828250267029,2.555230706138835,0.07619186215061184
177,m442,DAT,superficial,DAT superficial,pre,18,g162,0.3804981895061159,2.9618996077799027,0.9335497660507676,1.5568132765664862
177,m442,DAT,superficial,DAT superficial,pre,18,g163,2.0059607068510434,0.486446310802288,0.63542013554821,1.2359071947039129
177,m442,DAT,superficial,DAT superficial,pre,18,g164,0.20014548278710836,3.322419980471019,0.506477127219143,1.1247766254003093
177,m442,DAT,superficial,DAT superficial,pre,18,g166,1.9523036927789776,0.5036972523158741,2.107621247236018,0.1718734633675289
177,m442,DAT,superficial,DAT superficial,pre,18,g167,1.8216324004902644,0.16760954254281524,0.9552648093548866,0.5630264948139594
177,m442,DAT,superficial,DAT superficial,pre,18,g168,5.14654260846761,0.09981219755713461,5.982754418635137,0.0940204808130455
177,m442,DAT,superficial,DAT superficial,pre,18,g169,2.3099354520272524,0.1439314015295791,1.2612350106450751,0.31818346649494156
177,m442,DAT,superficial,DAT superficial,pre,18,g170,8.044121705515538,0.027769389238815303,6.315980162364805,0.09963141587493893
177,m442,DAT,superficial,DAT superficial,pre,18,g171,1.054403342345352,0.6111255729914474,0.46419584495261185,1.8488499953353281
177,m442,DAT,superficial,DAT superficial,pre,18,g172,0.421580004491844,3.2202181324296566,0.22713603301116939,1.463148215890646
177,m442,DAT,superficial,DAT superficial,pre,18,g174,0.44599436258597364,3.2636720190460395,0.4240416178737689,1.817509961322126
177,m442,DAT,superficial,DAT superficial,pre,18,g178,1.3404704588924639,2.3948888754067603,2.8436890114393605,0.9433573312064266
177,m442,DAT,superficial,DAT superficial,pre,18,g179,0.2654501422223852,4.1221471704632355,0.16549992686642645,2.524279902463559
177,m442,DAT,superficial,DAT superficial,pre,18,g185,0.5409021280738449,2.199208945771508,0.45944063165732857,1.3513451187752286
177,m442,DAT,superficial,DAT superficial,pre,18,g187,0.46979569013656847,1.4481174093351452,0.20659292892205236,2.848182530962342
177,m442,DAT,superficial,DAT superficial,pre,18,g192,0.18114785645675885,1.4243295199129624,0.5433577920331191,1.218028456276531
177,m442,DAT,superficial,DAT superficial,pre,18,g195,2.799800564357314,0.1372398763978243,0.8896686296582075,0.9049398804701813
177,m442,DAT,superficial,DAT superficial,pre,18,g196,0.1208327079783725,2.7492663285655103,0.08503629350378028,1.7483005724212362
177,m442,DAT,superficial,DAT superficial,pre,18,g200,2.4577148573907843,0.12753928091701977,1.109738504244468,0.38514024673511965
177,m442,DAT,superficial,DAT superficial,pre,18,g205,0.5142910604568813,1.411268677946577,0.6377708229196357,1.8639585202617928
177,m442,DAT,superficial,DAT superficial,pre,18,g206,6.4913209893464465,0.24933563864089964,5.757877130269545,0.14274197819057463
177,m442,DAT,superficial,DAT superficial,pre,18,g208,1.5760705541894953,0.3529483308706265,0.6878175368833775,1.7042751720892702
177,m442,DAT,superficial,DAT superficial,pre,18,g209,2.2930398761886113,0.30495128813782457,5.0698953554848885,0.10928693572319984
177,m442,DAT,superficial,DAT superficial,pre,18,g211,8.05472870018669,0.004883450193443297,6.1619025110999655,0.0
177,m442,DAT,superficial,DAT superficial,pre,18,g212,6.438043670516051,0.06572814378341674,0.5889695638224219,0.7679141061932516
177,m442,DAT,superficial,DAT superficial,pre,18,g213,2.097175519810517,0.2757755780114651,0.9532296473555658,1.5533746765583036
177,m442,DAT,superficial,DAT superficial,pre,18,g216,3.7863346315545834,0.2554529112281727,5.8062099513467755,0.01697005124267578
177,m442,DAT,superficial,DAT superficial,pre,18,g223,0.01949679192913055,4.245660286715583,0.10882811260986325,2.4533774310537955
177,m442,DAT,superficial,DAT superficial,pre,18,g228,5.857596131889439,0.01821481403291702,0.7600593161927852,0.8647424447931864
177,m442,DAT,superficial,DAT superficial,pre,18,g231,8.806404969821344,0.21607617247103686,2.077439291937189,0.21237654614294527
177,m442,DAT,superficial,DAT superficial,pre,18,g234,1.049855075213685,0.9804218264304536,2.120560073458815,0.27122988335256093
177,m442,DAT,superficial,DAT superficial,pre,18,g244,3.0571428245851555,0.2534486885731458,1.7459379389845704,0.39077459014038546
177,m442,DAT,superficial,DAT superficial,pre,18,g248,9.172123996518915,0.11144088454928397,3.9100898470426073,0.08776823553364275
177,m442,DAT,superficial,DAT superficial,pre,18,g250,1.6336406043807785,0.31755327208288175,0.4638641900604056,1.2362496060375519
177,m442,DAT,superficial,DAT superficial,pre,18,g251,21.630984882832717,0.22294123841148372,14.761212721660534,0.08913908685965537
177,m442,DAT,superficial,DAT superficial,pre,18,g254,9.580836109855325,0.051546707478160855,8.41138513535614,0.005807160850839614
177,m442,DAT,superficial,DAT superficial,pre,18,g256,9.636285214481731,0.07365326027893065,7.771196606355739,0.0
177,m442,DAT,superficial,DAT superficial,pre,18,g257,6.521638732678012,0.012994624837245939,6.28597949368286,0.0
177,m442,DAT,superficial,DAT superficial,pre,18,g261,5.40123202556797,0.0,1.7238495867182924,0.4466924082847021
177,m442,DAT,superficial,DAT superficial,pre,18,g262,2.0800417780412572,0.28505373899112224,4.730303138835583,0.03213579645139217
177,m442,DAT,superficial,DAT superficial,pre,18,g264,8.533761220964752,0.0,4.911771863615053,0.06611667118157386
177,m442,DAT,superficial,DAT superficial,pre,18,g265,14.30995500274303,0.05669909347618102,11.837222262575454,0.14805626426834104
177,m442,DAT,superficial,DAT superficial,pre,18,g274,2.0945285274652568,0.2423664478096674,1.7932749268859338,0.18787960182356356
177,m442,DAT,superficial,DAT superficial,pre,18,g276,5.714852191898688,0.015994264234628675,6.1568313955421425,0.07372865458877562
177,m442,DAT,superficial,DAT superficial,pre,21,g1,0.031937229074907286,3.6323224595711214,0.1295296822523796,3.602505164308711
177,m442,DAT,superficial,DAT superficial,pre,21,g2,24.24094482214805,0.1428325454546356,9.618113259351448,0.12505963473278045
177,m442,DAT,superficial,DAT superficial,pre,21,g3,0.004606534508829115,4.7440137407813605,0.0,4.118517203974457
