group_id,mouse,line,depth_class,cohort,compartment,unit_id,state,n_odors,tuning_reliability_signed,tuning_reliability_excitation,tuning_reliability_suppression
238,m466,TH,deep,TH deep,processes,g490,pre,14,0.3941997834662833,0.663755009309736,0.18166099590750528
238,m466,TH,deep,TH deep,processes,g491,pre,14,0.1125041377065787,-0.0769230769230769,0.10770717769254542
238,m466,TH,deep,TH deep,processes,g492,pre,14,0.040033145041406024,0.13025408586460568,-0.20440561260632562
238,m466,TH,deep,TH deep,processes,g493,pre,14,0.17052017542859815,0.35622366479658324,-0.08471380062653441
238,m466,TH,deep,TH deep,processes,g494,pre,14,0.2492283749727222,0.37864093592291614,0.09455916218011082
238,m466,TH,deep,TH deep,processes,g495,pre,14,0.04351081891580406,0.014047314169154765,-0.0769230769230769
238,m466,TH,deep,TH deep,processes,g496,pre,14,0.15803290536414064,0.10518124350679608,0.034729503031696675
238,m466,TH,deep,TH deep,processes,g497,pre,14,-0.025892829580912206,-0.005823650573006276,0.2956365490978783
238,m466,TH,deep,TH deep,processes,g498,pre,14,0.5213650246148684,0.173554444107628,0.44749528192788607
238,m466,TH,deep,TH deep,processes,g499,pre,14,0.29648553704956676,0.2724985368231707,0.3308681733074663
238,m466,TH,deep,TH deep,processes,g500,pre,14,0.2887422476933037,0.19818383344353424,0.2886430885639547
238,m466,TH,deep,TH deep,processes,g501,pre,14,0.3737324218931523,-0.17395601350304446,0.47654397165062257
238,m466,TH,deep,TH deep,processes,g502,pre,14,0.5218469969908219,0.690424820435726,0.03843041694460951
238,m466,TH,deep,TH deep,processes,g503,pre,14,0.033798254343360756,0.009004833210080757,-0.06701277656321572
238,m466,TH,deep,TH deep,processes,g504,pre,14,0.22548987229757064,-0.07692307692307693,0.22078198762574947
238,m466,TH,deep,TH deep,processes,g505,pre,14,0.15679278268492602,-0.0769230769230769,0.15016384365299032
238,m466,TH,deep,TH deep,processes,g506,pre,14,0.2950347936673669,0.6168998461026466,0.16406585832085607
238,m466,TH,deep,TH deep,processes,g507,pre,14,0.0014112958905914074,-0.23797257354491078,-0.010547012032438125
238,m466,TH,deep,TH deep,processes,g508,pre,14,0.28826045711752674,0.4228338497085736,0.24769533056303977
238,m466,TH,deep,TH deep,processes,g509,pre,14,0.8366500634867258,0.8635029168636809,0.5727912057227138
238,m466,TH,deep,TH deep,processes,g510,pre,14,0.4463244461649798,0.8337048129300224,0.4101695001876774
238,m466,TH,deep,TH deep,processes,g511,pre,14,0.36989450869070306,-0.10846662207903875,0.4335914639346643
238,m466,TH,deep,TH deep,processes,g512,pre,14,-0.29604515096332534,-0.12549542452956047,-0.1893458456564028
238,m466,TH,deep,TH deep,processes,g513,pre,14,0.11702691076398544,0.48285095154580776,0.02394764999189819
238,m466,TH,deep,TH deep,processes,g514,pre,14,0.3172841914924409,-0.11634575712039637,0.5325026639948818
238,m466,TH,deep,TH deep,processes,g515,pre,14,0.2289686650206749,-0.07692307692307693,0.2822313657337072
238,m466,TH,deep,TH deep,processes,g516,pre,14,0.5522894536999234,0.7855039430985341,0.3605315952138838
225,m357,TH,superficial,TH superficial,somas,g1,post,15,0.458097278734959,0.37727242983296383,0.36559832911379475
225,m357,TH,superficial,TH superficial,somas,g2,post,15,-0.022656778069865276,0.006840576844813579,-0.10846544579678824
225,m357,TH,superficial,TH superficial,somas,g3,post,15,0.43529666937657063,0.5609140125617824,-0.08897437273758882
225,m357,TH,superficial,TH superficial,somas,g4,post,15,0.3914262175366341,0.47778385807756296,-0.009681664425720335
225,m357,TH,superficial,TH superficial,somas,g5,post,15,0.7543905870722879,0.8044079739262523,0.49007730967959184
225,m357,TH,superficial,TH superficial,somas,g6,post,15,-0.03686363636136812,0.04953334136004198,-0.17079621621540336
225,m357,TH,superficial,TH superficial,somas,g7,post,15,0.3294007215892014,0.1904258011853245,0.22321471519722896
225,m357,TH,superficial,TH superficial,somas,g8,post,15,-0.029226069962547868,-0.010876829865662033,0.01024906122769027
225,m357,TH,superficial,TH superficial,somas,g9,post,15,0.02567684008178893,-0.08337818608136026,0.3082758206830236
225,m357,TH,superficial,TH superficial,somas,g10,post,15,0.3622122605728697,0.13641418184694548,0.4897167348655411
225,m357,TH,superficial,TH superficial,somas,g11,post,15,0.26606134370804724,0.15306818584463963,0.10582772156074374
225,m357,TH,superficial,TH superficial,somas,g12,post,15,0.3988888912260924,0.42326239674018745,-0.04022702628935746
225,m357,TH,superficial,TH superficial,somas,g13,post,15,0.30260895254689996,0.5511150696880718,-0.14932915603433955
225,m357,TH,superficial,TH superficial,somas,g14,post,15,0.4604143850443171,0.5507899164760637,-0.10359955618546896
225,m357,TH,superficial,TH superficial,somas,g15,post,15,0.5561212946030399,0.5264321254393809,0.39081771497329865
225,m357,TH,superficial,TH superficial,somas,g16,post,15,0.3543124728456682,0.3112258719809213,0.1581033419792845
225,m357,TH,superficial,TH superficial,somas,g17,post,15,0.2994140807200505,0.4131850715018883,-0.14313813703804137
225,m357,TH,superficial,TH superficial,somas,g18,post,15,0.41668139550506045,0.5501012863009449,-0.12435207622548837
225,m357,TH,superficial,TH superficial,somas,g19,post,15,0.2838337452145717,0.295705360252448,0.11844235607751519
225,m357,TH,superficial,TH superficial,somas,g20,post,15,0.012962099667883625,0.09940801470975313,0.017726608561980786
225,m357,TH,superficial,TH superficial,somas,g21,post,15,-0.23244404339434788,-0.0576205595489756,-0.3033166644077348
225,m357,TH,superficial,TH superficial,somas,g22,post,15,-0.34277530972824993,-0.16716259115958898,-0.18928473949975538
225,m357,TH,superficial,TH superficial,somas,g23,post,15,0.44471604409496834,0.417025809538093,0.1892009089339637
225,m357,TH,superficial,TH superficial,somas,g24,post,15,-0.22895989418343307,-0.11342538612109017,-0.16512324274788298
225,m357,TH,superficial,TH superficial,somas,g25,post,15,0.20317424049036661,0.18328738408926243,0.0479143763083877
