group_id,mouse,line,depth_class,cohort,compartment,unit_id,n_awake_trials,median_pupil_coverage,suppression_vs_pupil_rho,suppression_vs_running_rho,excitation_vs_pupil_rho,excitation_vs_running_rho
175,m442,DAT,superficial,DAT superficial,somas,g149,88,0.06896551724137931,0.6572670690061992,-0.5830316724086346,-0.43817804600413285,0.6592460567056972
175,m442,DAT,superficial,DAT superficial,somas,g150,88,0.06896551724137931,0.3286335345030996,-0.2275818061550507,-0.6937819061732104,0.280133883343127
175,m442,DAT,superficial,DAT superficial,somas,g151,88,0.06896551724137931,-0.36514837167011077,-0.26468490263619904,-0.12780193008453875,0.5815809368657854
175,m442,DAT,superficial,DAT superficial,somas,g152,88,0.06896551724137931,-0.12780193008453875,0.6624521165559376,-0.31037611591959413,-0.5399480412068454
175,m442,DAT,superficial,DAT superficial,somas,g153,88,0.06896551724137931,-0.07302967433402215,-0.30218260988937184,-0.18257418583505539,0.3092746773390627
175,m442,DAT,superficial,DAT superficial,somas,g154,88,0.06896551724137931,0.09128709291752769,0.4864270997783117,0.36514837167011077,-0.3618299409541621
175,m442,DAT,superficial,DAT superficial,somas,g155,88,0.06896551724137931,0.2008316044185609,0.48298322779632263,0.07302967433402215,-0.4589133760372195
175,m442,DAT,superficial,DAT superficial,somas,g156,88,0.06896551724137931,0.49295030175464954,-0.2890839386769844,-0.6390096504226939,0.6115867439319302
175,m442,DAT,superficial,DAT superficial,somas,g157,88,0.06896551724137931,-0.21908902300206642,0.1117942138160819,0.474692883171144,-0.025190470251889432
175,m442,DAT,superficial,DAT superficial,somas,g158,88,0.06896551724137931,0.5477225575051661,-0.24869957428113645,0.1643167672515498,0.6309860483829044
175,m442,DAT,superficial,DAT superficial,somas,g159,88,0.06896551724137931,0.31037611591959413,-0.3133879464326405,-0.43817804600413285,0.42025367215507914
175,m442,DAT,superficial,DAT superficial,somas,g160,88,0.06896551724137931,0.18257418583505539,-0.2513476170895435,0.018257418583505537,0.4452767931290714
175,m442,DAT,superficial,DAT superficial,somas,g161,88,0.06896551724137931,-0.12780193008453875,0.12214843284207207,0.2008316044185609,-0.08785396696764725
175,m442,DAT,superficial,DAT superficial,somas,g162,88,0.06896551724137931,0.5477225575051661,-0.0487223758117159,-0.3468909530866052,0.18534372919947875
175,m442,DAT,superficial,DAT superficial,somas,g163,88,0.06896551724137931,-0.237346441585572,-0.21525175452781706,0.018257418583505537,0.2637051489093753
175,m442,DAT,superficial,DAT superficial,somas,g164,88,0.06896551724137931,-0.018257418583505537,0.26285402583520445,-0.6390096504226939,-0.006420927557212374
175,m442,DAT,superficial,DAT superficial,somas,g165,88,0.06896551724137931,-0.4016632088371218,0.1717759822689098,0.22000763928677075,0.14563175312929266
175,m442,DAT,superficial,DAT superficial,somas,g166,88,0.06896551724137931,-0.054772255750516606,0.2431287438307833,0.511207720338155,0.24296032400812725
175,m442,DAT,superficial,DAT superficial,somas,g167,88,0.06896551724137931,0.0,-0.3635971337301565,-0.4016632088371218,0.34876910692279434
175,m442,DAT,superficial,DAT superficial,somas,g168,88,0.06896551724137931,-0.2008316044185609,-0.2250428318686484,-0.6024948132556827,0.7008059286929491
175,m442,DAT,superficial,DAT superficial,somas,g169,88,0.06896551724137931,-0.6937819061732104,0.10836353851323664,0.511207720338155,0.12516404808198417
175,m442,DAT,superficial,DAT superficial,somas,g170,88,0.06896551724137931,0.237346441585572,-0.31432598317453775,-0.2556038601690775,0.4825780663866769
175,m442,DAT,superficial,DAT superficial,somas,g171,88,0.06896551724137931,0.5659799760886717,-0.3548641437809437,-0.474692883171144,0.3360857932295353
175,m442,DAT,superficial,DAT superficial,somas,g172,88,0.06896551724137931,0.474692883171144,-0.3690111865220926,-0.4016632088371218,0.5136213574366014
175,m442,DAT,superficial,DAT superficial,somas,g173,88,0.06896551724137931,0.12780193008453875,-0.04961906089651017,-0.6572670690061992,0.03873729504178201
175,m442,DAT,superficial,DAT superficial,somas,g174,88,0.06896551724137931,0.237346441585572,-0.19714185329122905,0.6207522318391883,0.0704760656365361
175,m442,DAT,superficial,DAT superficial,somas,g175,88,0.06896551724137931,-0.38340579025361626,-0.18212085555053187,0.237346441585572,-0.08607477990789841
175,m442,DAT,superficial,DAT superficial,somas,g176,88,0.06896551724137931,0.237346441585572,-0.30896303623823107,-0.2556038601690775,0.4709516955011894
175,m442,DAT,superficial,DAT superficial,somas,g177,88,0.06896551724137931,0.2008316044185609,-0.1265953248008415,-0.8580986734247602,0.36200731559013344
175,m442,DAT,superficial,DAT superficial,somas,g178,88,0.06896551724137931,0.2556038601690775,-0.14015061631051212,-0.5294651389216606,0.10186726702735217
175,m442,DAT,superficial,DAT superficial,somas,g179,88,0.06896551724137931,0.38340579025361626,-0.15425707809083716,-0.3286335345030996,0.1336063787590597
