group_id,mouse,line,depth_class,cohort,compartment,state,odor_id,population_pattern_reliability,n_trials
196,m472,DAT,superficial,DAT superficial,processes,pre,18,0.9011933207511902,5
196,m472,DAT,superficial,DAT superficial,processes,pre,21,0.7979950904846191,6
196,m472,DAT,superficial,DAT superficial,processes,pre,22,0.8987234830856323,6
196,m472,DAT,superficial,DAT superficial,processes,pre,30,0.9111111164093018,7
196,m472,DAT,superficial,DAT superficial,processes,pre,31,0.8951511383056641,8
196,m472,DAT,superficial,DAT superficial,processes,pre,32,0.9525373578071594,7
196,m472,DAT,superficial,DAT superficial,processes,pre,39,0.9289267659187317,10
196,m472,DAT,superficial,DAT superficial,processes,pre,40,0.6674132943153381,3
233,m465,TH,deep,TH deep,somas,post,1,0.30468809604644775,4
233,m465,TH,deep,TH deep,somas,post,2,0.8250375390052795,5
233,m465,TH,deep,TH deep,somas,post,3,0.8644482493400574,6
233,m465,TH,deep,TH deep,somas,post,4,0.46889728307724,2
233,m465,TH,deep,TH deep,somas,post,10,0.7695358991622925,5
233,m465,TH,deep,TH deep,somas,post,12,0.7974509000778198,6
233,m465,TH,deep,TH deep,somas,post,17,0.850725531578064,7
233,m465,TH,deep,TH deep,somas,post,18,0.8678212761878967,8
233,m465,TH,deep,TH deep,somas,post,21,0.914107084274292,2
233,m465,TH,deep,TH deep,somas,post,22,0.9603530168533325,11
233,m465,TH,deep,TH deep,somas,post,30,0.8940879106521606,2
233,m465,TH,deep,TH deep,somas,post,31,0.8243618011474609,2
233,m465,TH,deep,TH deep,somas,post,32,0.8988680839538574,6
233,m465,TH,deep,TH deep,somas,post,39,0.7168658375740051,5
233,m465,TH,deep,TH deep,somas,post,40,0.6042327284812927,4
233,m465,TH,deep,TH deep,somas,pre,1,0.22907103598117828,4
233,m465,TH,deep,TH deep,somas,pre,2,0.21599480509757996,4
233,m465,TH,deep,TH deep,somas,pre,3,0.6235413551330566,2
233,m465,TH,deep,TH deep,somas,pre,4,0.3975198268890381,6
233,m465,TH,deep,TH deep,somas,pre,10,-0.06347493827342987,7
233,m465,TH,deep,TH deep,somas,pre,12,0.24524584412574768,7
233,m465,TH,deep,TH deep,somas,pre,17,-0.538015604019165,3
233,m465,TH,deep,TH deep,somas,pre,18,0.5192882418632507,5
233,m465,TH,deep,TH deep,somas,pre,21,0.7568088173866272,8
233,m465,TH,deep,TH deep,somas,pre,22,0.7392877340316772,5
233,m465,TH,deep,TH deep,somas,pre,30,0.48167961835861206,6
233,m465,TH,deep,TH deep,somas,pre,31,0.6787307858467102,3
233,m465,TH,deep,TH deep,somas,pre,32,0.9131775498390198,6
233,m465,TH,deep,TH deep,somas,pre,39,0.46061334013938904,6
233,m465,TH,deep,TH deep,somas,pre,40,0.09529026597738266,2
233,m465,TH,deep,TH deep,processes,post,1,0.5166944265365601,4
233,m465,TH,deep,TH deep,processes,post,2,0.8075929284095764,5
233,m465,TH,deep,TH deep,processes,post,3,0.9170236587524414,6
233,m465,TH,deep,TH deep,processes,post,4,0.6315200328826904,2
233,m465,TH,deep,TH deep,processes,post,10,0.8159985542297363,5
233,m465,TH,deep,TH deep,processes,post,12,0.8559969663619995,6
233,m465,TH,deep,TH deep,processes,post,17,0.8977029919624329,7
233,m465,TH,deep,TH deep,processes,post,18,0.8267016410827637,8
233,m465,TH,deep,TH deep,processes,post,21,0.9290866255760193,2
233,m465,TH,deep,TH deep,processes,post,22,0.9744023084640503,11
233,m465,TH,deep,TH deep,processes,post,30,0.905786395072937,2
233,m465,TH,deep,TH deep,processes,post,31,0.8751584887504578,2
233,m465,TH,deep,TH deep,processes,post,32,0.9364643692970276,6
233,m465,TH,deep,TH deep,processes,post,39,0.7531483769416809,5
233,m465,TH,deep,TH deep,processes,post,40,0.7979499697685242,4
233,m465,TH,deep,TH deep,processes,pre,1,0.42618587613105774,4
233,m465,TH,deep,TH deep,processes,pre,2,0.4126911759376526,4
233,m465,TH,deep,TH deep,processes,pre,3,0.7390522956848145,2
233,m465,TH,deep,TH deep,processes,pre,4,0.3859066367149353,6
233,m465,TH,deep,TH deep,processes,pre,10,0.4548420011997223,7
233,m465,TH,deep,TH deep,processes,pre,12,0.4368252456188202,7
233,m465,TH,deep,TH deep,processes,pre,17,-0.02805355191230774,3
233,m465,TH,deep,TH deep,processes,pre,18,0.8120673894882202,5
233,m465,TH,deep,TH deep,processes,pre,21,0.7937668561935425,8
233,m465,TH,deep,TH deep,processes,pre,22,0.558955192565918,5
233,m465,TH,deep,TH deep,processes,pre,30,0.7393627166748047,6
233,m465,TH,deep,TH deep,processes,pre,31,0.4495803415775299,3
233,m465,TH,deep,TH deep,processes,pre,32,0.8798131942749023,6
233,m465,TH,deep,TH deep,processes,pre,39,0.5632262825965881,6
233,m465,TH,deep,TH deep,processes,pre,40,0.3066869080066681,2
228,m466,TH,deep,TH deep,somas,post,1,0.8912437558174133,3
228,m466,TH,deep,TH deep,somas,post,2,0.6615997552871704,5
228,m466,TH,deep,TH deep,somas,post,3,0.8563576936721802,4
228,m466,TH,deep,TH deep,somas,post,4,0.9096171855926514,10
228,m466,TH,deep,TH deep,somas,post,10,0.6445954442024231,3
228,m466,TH,deep,TH deep,somas,post,12,0.9097689390182495,6
228,m466,TH,deep,TH deep,somas,post,17,0.9038095474243164,9
228,m466,TH,deep,TH deep,somas,post,18,0.8817984461784363,7
228,m466,TH,deep,TH deep,somas,post,21,0.9458730220794678,6
