group_id,mouse,line,state,pair,n_a,n_b,integrated_crossnobis,spatiotemporal_crossnobis,integrated_cosine,min_trials,trial_imbalance,eligible_primary,integrated_crossnobis_robust_z,integrated_crossnobis_outlier_flag,spatiotemporal_crossnobis_robust_z,spatiotemporal_crossnobis_outlier_flag,integrated_cosine_robust_z,integrated_cosine_outlier_flag
213,m392,Thy1,post,17-18,6,4,0.102478016620018,0.1779584756038485,0.0156468749046325,4,2,True,-0.5674329170333441,False,-0.6327212779239856,False,0.05933353308738599,False
213,m392,Thy1,post,31-32,4,3,1.288209276171978,1.2397572369045902,0.0506787896156311,3,1,True,8.095952614612317,True,6.305924356044312,True,3.7458336314687606,True
213,m392,Thy1,post,39-40,4,3,3.0738562320881404,2.3542144905604863,0.0903894901275634,3,1,True,0.5916827849668018,False,1.0238047179089147,False,2.8042452979233214,False
214,m426,Thy1,pre,17-18,5,6,0.1051068871167209,0.0941430830037002,0.0198122859001159,5,1,True,-0.38399152347221877,False,-1.1486569218021463,False,0.2761195513208672,False
214,m426,Thy1,pre,39-40,5,3,1.3941654603737552,1.431192260001452,0.2811598777770996,3,2,True,-0.7990888338737185,False,-0.7364763822917972,False,0.76624443020832,False
214,m426,Thy1,post,17-18,4,4,1.6188738038018584,1.3451479006639089,0.0459107756614685,4,0,True,2.5742309411271154,False,2.6154002645868695,False,4.3349857363121975,True
214,m426,Thy1,post,31-32,6,5,0.216165908280362,0.1140768772290191,0.0228040218353271,5,1,True,-0.3513149765015376,False,-0.6688306885863796,False,-0.02846902482800033,False
214,m426,Thy1,post,39-40,6,7,0.850659273200704,0.343994208175624,0.0569749474525451,6,1,True,-0.41244750090554866,False,-0.5540291323451818,False,0.33568459037584036,False
215,m496,DAT,pre,17-18,7,5,0.2095168463950873,0.0976736763411385,0.0236005783081054,5,2,True,0.15517177788776335,False,0.0,False,-0.05171111486071867,False
215,m496,DAT,pre,31-32,5,6,0.6702601553030924,0.3582583520952163,0.0241215229034423,5,1,True,1.25219128479962,False,0.7307948319588403,False,0.5615297903770436,False
215,m496,DAT,pre,39-40,6,4,1.8824434676465065,1.466057742487309,0.1066578030586242,4,2,True,0.08846791766688662,False,0.4943853765533032,False,-0.7241493767484406,False
