group_id,mouse,line,depth_class,compartment,state,pair,n_a,n_b,integrated_crossnobis,integrated_null_z,integrated_cosine,spatiotemporal_crossnobis,spatiotemporal_null_z,time_s,one_second_crossnobis,cumulative_crossnobis
202,m496,DAT,superficial,somas,pre,39-40,5,3,0.14825447993982474,-0.2275470973920655,0.21622401475906372,0.19484375517660954,-0.015656753275160085,1.0,0.3133546639442895,0.3148748585223528
202,m496,DAT,superficial,somas,pre,39-40,5,3,0.14825447993982474,-0.2275470973920655,0.21622401475906372,0.19484375517660954,-0.015656753275160085,2.0,-0.25977953459708913,-0.147318352079463
202,m496,DAT,superficial,somas,pre,39-40,5,3,0.14825447993982474,-0.2275470973920655,0.21622401475906372,0.19484375517660954,-0.015656753275160085,3.0,0.22152026418267312,0.0022667004879901548
202,m496,DAT,superficial,somas,pre,39-40,5,3,0.14825447993982474,-0.2275470973920655,0.21622401475906372,0.19484375517660954,-0.015656753275160085,4.0,0.41666029862206666,0.13379439929619819
202,m496,DAT,superficial,somas,post,17-18,8,5,-0.057314435847408876,-0.6616439894369949,0.05727654695510864,-0.06786186767820977,-0.5786029655171309,1.0,-0.09203273198561897,-0.07927862398150966
202,m496,DAT,superficial,somas,post,17-18,8,5,-0.057314435847408876,-0.6616439894369949,0.05727654695510864,-0.06786186767820977,-0.5786029655171309,2.0,-0.0329502724613613,-0.05138621100602257
202,m496,DAT,superficial,somas,post,17-18,8,5,-0.057314435847408876,-0.6616439894369949,0.05727654695510864,-0.06786186767820977,-0.5786029655171309,3.0,-0.10168021143121707,-0.08178959403030552
202,m496,DAT,superficial,somas,post,17-18,8,5,-0.057314435847408876,-0.6616439894369949,0.05727654695510864,-0.06786186767820977,-0.5786029655171309,4.0,-0.08767864588500933,-0.05690523812393291
202,m496,DAT,superficial,somas,post,31-32,2,4,1.2207765894270148,-0.01545146216931014,0.06892561912536621,1.5399435258386278,1.223342665600998,1.0,1.3543361576100381,1.3996930258814497
202,m496,DAT,superficial,somas,post,31-32,2,4,1.2207765894270148,-0.01545146216931014,0.06892561912536621,1.5399435258386278,1.223342665600998,2.0,1.766812649375706,1.150192856199107
202,m496,DAT,superficial,somas,post,31-32,2,4,1.2207765894270148,-0.01545146216931014,0.06892561912536621,1.5399435258386278,1.223342665600998,3.0,2.8460275519803284,1.601949627494043
202,m496,DAT,superficial,somas,post,31-32,2,4,1.2207765894270148,-0.01545146216931014,0.06892561912536621,1.5399435258386278,1.223342665600998,4.0,0.12537002599999922,1.2364377390104617
202,m496,DAT,superficial,somas,post,39-40,4,5,0.42358536528188284,0.21959013584771747,0.10281383991241455,0.3306739238264346,-0.0021890951406478543,1.0,-0.05528888665689122,-0.06387592410645371
202,m496,DAT,superficial,somas,post,39-40,4,5,0.42358536528188284,0.21959013584771747,0.10281383991241455,0.3306739238264346,-0.0021890951406478543,2.0,0.3951128482486204,0.042807412164646515
202,m496,DAT,superficial,somas,post,39-40,4,5,0.42358536528188284,0.21959013584771747,0.10281383991241455,0.3306739238264346,-0.0021890951406478543,3.0,0.5347031384389784,0.3000447431204639
202,m496,DAT,superficial,somas,post,39-40,4,5,0.42358536528188284,0.21959013584771747,0.10281383991241455,0.3306739238264346,-0.0021890951406478543,4.0,0.5382598950814133,0.4842157332696732
202,m496,DAT,superficial,processes,pre,17-18,6,6,0.15318063031423063,0.3875829653568787,0.08042412996292114,0.10373963556455403,0.2654401232739908,1.0,0.20218692496324453,0.19548171291646774
202,m496,DAT,superficial,processes,pre,17-18,6,6,0.15318063031423063,0.3875829653568787,0.08042412996292114,0.10373963556455403,0.2654401232739908,2.0,0.08079322199898203,0.05855605348724886
202,m496,DAT,superficial,processes,pre,17-18,6,6,0.15318063031423063,0.3875829653568787,0.08042412996292114,0.10373963556455403,0.2654401232739908,3.0,0.032795258970044226,0.14632321483002997
202,m496,DAT,superficial,processes,pre,17-18,6,6,0.15318063031423063,0.3875829653568787,0.08042412996292114,0.10373963556455403,0.2654401232739908,4.0,0.06537783842341467,0.14658924146772842
202,m496,DAT,superficial,processes,pre,31-32,7,6,0.46021801295871273,2.611408105872086,0.014940977096557617,0.3006924829256255,2.3430966139396956,1.0,0.15658818474212136,0.1739014401579877
202,m496,DAT,superficial,processes,pre,31-32,7,6,0.46021801295871273,2.611408105872086,0.014940977096557617,0.3006924829256255,2.3430966139396956,2.0,0.5779995040636332,0.39259215124490743
202,m496,DAT,superficial,processes,pre,31-32,7,6,0.46021801295871273,2.611408105872086,0.014940977096557617,0.3006924829256255,2.3430966139396956,3.0,0.23010847547667784,0.47904721493939384
202,m496,DAT,superficial,processes,pre,31-32,7,6,0.46021801295871273,2.611408105872086,0.014940977096557617,0.3006924829256255,2.3430966139396956,4.0,0.2611037226993012,0.44518373442311276
202,m496,DAT,superficial,processes,pre,39-40,5,3,0.573757481206201,0.14853374810085945,0.2216113805770874,0.44081505755691774,0.501837167410731,1.0,0.4692034627114143,0.4909250581838391
202,m496,DAT,superficial,processes,pre,39-40,5,3,0.573757481206201,0.14853374810085945,0.2216113805770874,0.44081505755691774,0.501837167410731,2.0,0.12463328009387839,0.1969249779411161
202,m496,DAT,superficial,processes,pre,39-40,5,3,0.573757481206201,0.14853374810085945,0.2216113805770874,0.44081505755691774,0.501837167410731,3.0,0.4979133198983608,0.3959091043917574
202,m496,DAT,superficial,processes,pre,39-40,5,3,0.573757481206201,0.14853374810085945,0.2216113805770874,0.44081505755691774,0.501837167410731,4.0,0.5784556145132999,0.5274462138099267
202,m496,DAT,superficial,processes,post,17-18,8,5,0.048113762940431376,-0.07690549310960781,0.041171133518218994,0.034826537654504316,-0.283781598686936,1.0,0.02421162154331172,0.023254259039754796
202,m496,DAT,superficial,processes,post,17-18,8,5,0.048113762940431376,-0.07690549310960781,0.041171133518218994,0.034826537654504316,-0.283781598686936,2.0,0.10090635635928974,0.10560503205731317
202,m496,DAT,superficial,processes,post,17-18,8,5,0.048113762940431376,-0.07690549310960781,0.041171133518218994,0.034826537654504316,-0.283781598686936,3.0,-0.057859777877517206,0.024489998444493507
202,m496,DAT,superficial,processes,post,17-18,8,5,0.048113762940431376,-0.07690549310960781,0.041171133518218994,0.034826537654504316,-0.283781598686936,4.0,0.044764793808776626,0.06542845553024804
202,m496,DAT,superficial,processes,post,31-32,2,4,0.8823797283651369,-0.06844962357149734,0.04750150442123413,1.362985358183099,0.8520640867849486,1.0,1.2458677906212958,1.3053145513911448
202,m496,DAT,superficial,processes,post,31-32,2,4,0.8823797283651369,-0.06844962357149734,0.04750150442123413,1.362985358183099,0.8520640867849486,2.0,2.0384965290069283,1.073042129166821
202,m496,DAT,superficial,processes,post,31-32,2,4,0.8823797283651369,-0.06844962357149734,0.04750150442123413,1.362985358183099,0.8520640867849486,3.0,2.0515183001067077,1.3925868806368165
202,m496,DAT,superficial,processes,post,31-32,2,4,0.8823797283651369,-0.06844962357149734,0.04750150442123413,1.362985358183099,0.8520640867849486,4.0,0.0162951265224079,0.9064888410361689
